oem_number,part_name,brand,model,price,quantity,condition,year_start,year_end,address,store_name,phone,photo_url,body_code
27060-0W070,Генератор Kia Sorento,Kia,Sorento,12575,20,used,2004,2011,"г. Новосибирск, ул. Транспортная, 2",Автодок,+7-935-414-32-27,,
13568-09070,Ремень ГРМ Kia Optima,Kia,Optima,2153,2,new,1998,2007,"г. Москва, ул. Транспортная, 43",Exist,+7-998-905-54-33,,
16400-17305,Радиатор Hyundai Creta,Hyundai,Creta,11512,7,used,2001,2010,"г. Кемерово, ул. Транспортная, 13",Дром Запчасти,+7-924-411-34-50,,
04466-0W020,Тормозные колодки задние Mazda CX-5,Mazda,CX-5,3186,9,new,2015,2023,"г. Москва, ул. Кирова, 4",Exist,+7-984-597-82-87,,
04466-0W020,Тормозные колодки задние Kia Sorento,Kia,Sorento,1548,11,used,2010,2018,"г. Новосибирск, ул. Курако, 40",ЗапчастиКузбасс,+7-994-922-97-68,,
15208-AA100,Масляный фильтр Mazda MX-5,Mazda,MX-5,1420,5,new,1999,2004,"г. Красноярск, ул. Кирова, 99",Автоопт,+7-918-782-50-77,,
48520-40580,Амортизатор задний Mitsubishi Lancer,Mitsubishi,Lancer,6054,4,new,1998,2003,"г. Новосибирск, ул. Курако, 72",Автозапчасти24,+7-997-715-18-47,,
13568-09070,Ремень ГРМ Hyundai Santa Fe,Hyundai,Santa Fe,3346,18,new,2014,2023,"г. Новосибирск, ул. Курако, 68",Автодок,+7-929-953-36-67,,
04465-0W020,Тормозные колодки передние Mazda MX-5,Mazda,MX-5,1995,5,used,2002,2008,"г. Москва, ул. Транспортная, 33",АвтоМир,+7-957-505-17-89,,
12305-88963,Масляный поддон Kia Ceed,Kia,Ceed,4754,18,used,1996,2004,"г. Новокузнецк, ул. Транспортная, 60",Автоопт,+7-966-767-49-78,,
90916-45160,Термостат Nissan Qashqai,Nissan,Qashqai,1032,12,new,2014,2021,"г. Екатеринбург, ул. Курако, 95",ЗапчастиКузбасс,+7-982-520-53-49,,
15208-AA100,Масляный фильтр Honda Pilot,Honda,Pilot,844,2,used,2011,2020,"г. Москва, ул. Курако, 82",Автозапчасти24,+7-968-889-42-12,,
90916-03089,Термостат Kia Rio,Kia,Rio,1766,6,used,2000,2006,"г. Казань, ул. Кирова, 11",Автоопт,+7-993-740-36-72,,
16400-0W210,Радиатор Toyota Highlander,Toyota,Highlander,4286,8,used,1996,2003,"г. Казань, ул. Курако, 32",АвтоМир,+7-975-294-98-17,,
12305-AA020,Масляный поддон Subaru WRX,Subaru,WRX,4674,21,used,2011,2016,"г. Казань, ул. Курако, 66",АвтоМир,+7-991-256-66-29,,
31210-0W010,Ступица передняя Kia Ceed,Kia,Ceed,5474,11,new,2006,2016,"г. Новосибирск, ул. Ленина, 38",Дром Запчасти,+7-961-787-12-21,,
90916-03089,Термостат Mitsubishi Pajero,Mitsubishi,Pajero,1761,21,used,1997,2007,"г. Новокузнецк, ул. Курако, 100",АвтоМир,+7-978-154-46-77,,
15208-49615,Масляный фильтр Honda Civic,Honda,Civic,522,15,new,1996,2001,"г. Санкт-Петербург, ул. Кирова, 90",АвтоМир,+7-976-578-82-71,,
04465-0W020,Тормозные колодки передние Kia Sportage,Kia,Sportage,3043,11,new,2004,2012,"г. Санкт-Петербург, ул. Ленина, 26",Exist,+7-999-377-22-66,,
15208-AA100,Масляный фильтр Subaru WRX,Subaru,WRX,1438,9,new,2007,2016,"г. Кемерово, ул. Кирова, 60",Exist,+7-955-100-48-75,,
31210-0W010,Ступица передняя Kia Rio,Kia,Rio,3768,21,used,2010,2018,"г. Кемерово, ул. Кирова, 84",Дром Запчасти,+7-945-855-89-61,,
15208-AA100,Масляный фильтр Mazda MX-5,Mazda,MX-5,773,16,used,2004,2014,"г. Санкт-Петербург, ул. Кирова, 64",Exist,+7-935-882-68-65,,
27060-0W070,Генератор Mitsubishi Outlander,Mitsubishi,Outlander,10194,7,used,1998,2007,"г. Москва, ул. Кирова, 55",Дром Запчасти,+7-929-837-61-40,,
12305-AA020,Масляный поддон Mazda 3,Mazda,3,3933,17,new,2013,2023,"г. Санкт-Петербург, ул. Кирова, 70",Дром Запчасти,+7-939-709-15-41,,
13568-09070,Ремень ГРМ Hyundai Tucson,Hyundai,Tucson,1495,23,used,2011,2018,"г. Кемерово, ул. Транспортная, 11",Exist,+7-907-534-73-29,,
48520-09L85,Амортизатор задний Hyundai Elantra,Hyundai,Elantra,3416,23,new,2015,2025,"г. Новосибирск, ул. Транспортная, 45",Exist,+7-923-162-41-87,,
04466-0W020,Тормозные колодки задние Nissan Patrol,Nissan,Patrol,1933,4,used,1996,2001,"г. Новокузнецк, ул. Транспортная, 72",АвтоМир,+7-990-525-63-96,,
04465-0W020,Тормозные колодки передние Mitsubishi Outlander,Mitsubishi,Outlander,3990,25,used,2006,2015,"г. Красноярск, ул. Ленина, 71",Авторазбор №1,+7-985-811-66-95,,
48510-18477,Амортизатор передний Kia Rio,Kia,Rio,3288,12,used,1998,2004,"г. Москва, ул. Курако, 44",Exist,+7-985-473-70-89,,
23300-0W010,Топливный фильтр Honda Civic,Honda,Civic,894,18,new,1998,2007,"г. Москва, ул. Курако, 55",Дром Запчасти,+7-935-699-61-67,,
17801-96972,Воздушный фильтр Toyota Highlander,Toyota,Highlander,950,6,used,1999,2007,"г. Новокузнецк, ул. Курако, 42",ЗапчастиКузбасс,+7-941-884-34-55,,
28100-0W030,Стартер Toyota Highlander,Toyota,Highlander,11289,18,used,1997,2007,"г. Красноярск, ул. Кирова, 28",Автоопт,+7-908-870-15-89,,
27060-0W070,Генератор Toyota Corolla,Toyota,Corolla,18536,4,new,2005,2010,"г. Казань, ул. Транспортная, 92",Exist,+7-971-348-87-88,,
90916-03089,Термостат Subaru Impreza,Subaru,Impreza,1487,3,used,2010,2020,"г. Новосибирск, ул. Кирова, 75",Дром Запчасти,+7-999-348-54-58,,
28100-0W030,Стартер Nissan Patrol,Nissan,Patrol,7679,7,new,2003,2012,"г. Красноярск, ул. Кирова, 35",Дром Запчасти,+7-969-879-20-29,,
